date | value
2020-02-30 | 500
2022-04-01 | 500
2013-07-15 | 2.5
2022-04-02 | -10
2021-11-30 | 100
2022-04-02 | 250
2022-04-03 | abc
2022-04-03 | 0
2022-03-31 | 999
2022-13-01 | 100
2022-01-01 | 100
2022-02-28 | 450
2011-02-29 | 200
2020-02-29 | 300
2022-04-06 | 1001
2012-12-12 | 12.5
2016-02-29 | 29
2022-04-04 | 200.200.2
2018-07-04 | 177.6
2019-11-11 | 111
2022/04/04 | 200
2022-06-30 | 600
2022-12-25 | 250.5
2022-04-31 | 300
2021-01-01 | 1
2021-12-31 | -31
2022-02-29 | 400
1999-01-01 | 100
2022-04-07 | 0.001
2022-04-05 | 5000
